,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
228,@TheCoachAdair @gunsensemo1 @Mary87138957 @knowyourIX No problem. I actually decided to delete my tweet because I d… https://t.co/YMzMlT6uDt,FALSE,1,TheCoachAdair,4/25/2019 15:55,TRUE,1.12E+18,1.12E+18,188505535,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Wolfesghost,0,FALSE,FALSE,NA,NA
229,"@RonanFarrow @bariweiss 
Why isn’t this on blast?

RT @wagatwe 
#WhitePrivilege is having a #sexualassaulting son a… https://t.co/VyZ1svCnMG",FALSE,0,RonanFarrow,4/25/2019 15:54,TRUE,NA,1.12E+18,340613443,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",MetalRabbit13,0,FALSE,FALSE,NA,NA
230,RT @J_Braceras: #IWLaw is proud to particpate in the annual #ShakespeareAndTheLaw event sponsored by @FedSoc and #CommonwealthShakespeareCo…,FALSE,0,NA,4/25/2019 15:49,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JoelNolette,3,TRUE,FALSE,NA,NA
231,RT @J_Braceras: #IWLaw is proud to particpate in the annual #ShakespeareAndTheLaw event sponsored by @FedSoc and #CommonwealthShakespeareCo…,FALSE,0,NA,4/25/2019 15:49,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LeastDangerous,3,TRUE,FALSE,NA,NA
232,RT @J_Braceras: #IWLaw is proud to particpate in the annual #ShakespeareAndTheLaw event sponsored by @FedSoc and #CommonwealthShakespeareCo…,FALSE,0,NA,4/25/2019 15:48,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",boston_fedsoc,3,TRUE,FALSE,NA,NA
233,"RT @ChicagoBears: <U+0001F6A8> SPOILER ALERT <U+0001F6A8>

We already made our 2019 first round pick. Hope you like him. https://t.co/tXjlcgDC79",FALSE,0,NA,4/25/2019 15:37,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TitleIX_lmao,4764,TRUE,FALSE,NA,NA
234,"We've just released our fifth monthly expansion to our #TitleIX Legal Database, implementing the option for users t… https://t.co/a92EIistoG",FALSE,6,NA,4/25/2019 15:18,TRUE,NA,1.12E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",TitleIXForAll,2,FALSE,FALSE,NA,NA
235,"RT @jeffreyjonesmo: Since this Legislative session is such a Dumpster Fire (again), and you all are now a laughing stock across the country…",FALSE,0,NA,4/25/2019 15:11,FALSE,NA,1.12E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",DrHadjian,1,TRUE,FALSE,NA,NA
236,"RT @JoeBiden: This week @bidenfoundation submitted a comment to the Department of Education about proposed changes to #TitleIX guidance.

T…",FALSE,0,NA,4/25/2019 15:11,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",danhomick,436,TRUE,FALSE,NA,NA
237,#IWLaw is proud to particpate in the annual #ShakespeareAndTheLaw event sponsored by @FedSoc and… https://t.co/nIoYx0c4oa,FALSE,5,NA,4/25/2019 15:10,TRUE,NA,1.12E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",J_Braceras,3,FALSE,FALSE,NA,NA
